Member_ID,Ideation,Influence,Efficiency
000001,7,5,6
000002,9,9,4
000003,10,8,2
000004,6,1,2
000005,10,2,7
000006,10,1,0
000007,6,9,4
000008,5,0,6
000009,5,8,5
000010,2,5,5
000011,3,8,10
000012,4,2,0
000013,6,1,10
000014,2,2,4
000015,1,5,9
000016,5,6,2
000017,6,5,6
000018,3,4,6
000019,2,4,6
000020,1,7,2
000021,7,8,10
000022,9,4,7
000023,6,7,7
000024,8,9,1
000025,2,2,8
000026,1,2,8
000027,8,1,1
000028,5,7,3
000029,7,7,10
000030,0,0,0
000031,6,1,5
000032,8,6,8
000033,3,9,7
000034,4,2,8
000035,0,3,7
000036,2,10,7
000037,3,7,6
000038,6,1,3
000039,5,5,9
000040,8,2,4
000041,2,7,0
000042,0,0,8
000043,4,10,3
000044,2,4,1
000045,3,3,1
000046,5,6,8
000047,8,4,3
000048,8,0,1
000049,9,2,7
000050,7,8,4
000051,0,10,6
000052,1,0,1
000053,10,7,9
000054,0,6,6
000055,10,0,0
000056,5,2,8
000057,4,10,8
000058,3,0,7
000059,4,3,0
000060,6,10,1
000061,9,1,0
000062,1,2,8
000063,4,0,5
000064,0,5,3
000065,6,9,3
000066,5,0,10
000067,4,3,0
000068,4,6,8
000069,0,1,1
000070,7,10,3
000071,1,5,9
000072,10,6,1
000073,3,3,6
000074,5,5,3
000075,8,1,0
000076,5,10,0
000077,4,1,0
000078,2,3,7
000079,5,6,4
000080,7,8,1
000081,1,10,8
000082,8,7,0
000083,9,6,7
000084,2,10,1
000085,3,4,5
000086,4,7,7
000087,1,7,5
000088,3,4,1
000089,4,1,4
000090,6,2,6
000091,8,2,7
000092,10,3,10
000093,9,0,1
000094,7,3,10
000095,5,3,8
000096,7,3,5
000097,4,6,5
000098,3,10,8
000099,9,4,5
000100,6,5,4
