Member_ID,Broker,Connector,Energizer,Challenger
000001,7,10,6,5
000002,10,6,5,5
000003,7,8,5,3
000004,0,2,9,5
000005,1,0,2,8
000006,7,8,9,9
000007,8,5,10,5
000008,0,6,2,6
000009,4,10,4,2
000010,5,3,7,4
000011,4,5,0,7
000012,6,2,9,3
000013,6,7,5,10
000014,3,10,9,9
000015,8,5,10,0
000016,2,7,3,6
000017,3,10,3,3
000018,5,5,1,8
000019,2,6,9,8
000020,7,9,7,7
000021,7,9,1,8
000022,9,7,0,3
000023,0,3,9,5
000024,0,8,0,7
000025,4,6,6,4
000026,4,8,6,6
000027,3,9,0,7
000028,3,0,10,7
000029,0,10,2,2
000030,2,7,3,6
000031,9,1,9,9
000032,8,2,9,3
000033,10,10,9,8
000034,3,8,7,9
000035,3,8,7,6
000036,1,7,0,2
000037,6,5,4,3
000038,4,9,1,3
000039,4,5,1,6
000040,1,8,0,10
000041,5,5,2,8
000042,3,1,4,8
000043,2,8,0,8
000044,0,8,10,10
000045,8,6,0,0
000046,3,9,6,7
000047,7,0,4,7
000048,2,10,8,4
000049,1,6,6,1
000050,10,2,3,10
000051,0,1,8,0
000052,3,4,4,4
000053,0,8,2,2
000054,1,6,6,2
000055,6,0,1,0
000056,5,6,8,0
000057,3,7,2,0
000058,2,5,5,4
000059,4,9,1,2
000060,8,8,6,6
000061,2,9,4,5
000062,6,1,7,2
000063,3,8,6,8
000064,7,6,8,4
000065,7,2,10,4
000066,1,7,6,6
000067,9,5,5,4
000068,4,2,0,4
000069,1,1,4,7
000070,1,5,1,4
000071,3,10,5,6
000072,9,8,2,4
000073,4,2,7,1
000074,1,6,9,8
000075,3,4,5,3
000076,8,9,6,10
000077,4,0,7,0
000078,7,9,9,5
000079,3,5,6,6
000080,8,1,8,0
000081,3,2,6,7
000082,3,6,9,0
000083,4,7,8,6
000084,3,10,6,5
000085,6,10,2,10
000086,0,1,5,0
000087,3,4,5,3
000088,7,2,0,6
000089,10,4,3,6
000090,8,2,5,5
000091,4,5,8,1
000092,1,10,8,8
000093,8,5,7,8
000094,3,1,10,8
000095,1,8,1,6
000096,5,10,1,1
000097,8,1,7,3
000098,9,8,8,5
000099,6,9,6,5
000100,3,4,5,1
