Member_ID,Healthcare_Ageing,Ecology_Sustainability,The_Next_Generation_Internet,Manufacturing_Robotics,Mobility_Logistics,Finance_Money,Work_Community,Leisure_Luxury
1,7,2,5,1,3,1,8,0
2,3,8,8,1,4,3,0,3
3,3,5,1,6,10,10,10,4
4,0,0,5,9,2,5,10,5
5,7,5,3,2,7,0,8,2
6,1,4,10,3,4,3,8,10
7,5,6,8,4,4,10,10,0
8,0,8,4,0,1,7,10,2
9,0,2,2,5,5,7,4,5
10,7,2,6,8,5,3,8,10
11,6,7,3,2,2,4,6,1
12,7,1,9,9,1,8,9,2
13,5,2,5,1,10,8,2,5
14,3,10,6,7,5,7,0,0
15,2,9,4,5,1,3,8,10
16,5,7,0,1,3,8,6,0
17,3,1,5,6,10,1,5,7
18,9,6,6,1,2,3,7,1
19,5,0,1,6,0,3,2,9
20,3,7,4,1,6,9,9,10
21,4,10,7,5,3,8,2,7
22,5,2,1,7,5,5,0,10
23,5,7,6,3,1,2,5,9
24,6,9,10,6,0,2,3,1
25,8,7,0,5,9,0,9,10
26,5,4,1,7,10,1,5,3
27,2,0,9,7,8,7,6,6
28,1,6,5,7,2,7,2,6
29,5,4,2,5,10,4,6,6
30,5,3,8,9,1,2,8,9
31,7,8,0,2,2,0,8,10
32,1,7,3,8,6,3,7,4
33,6,4,9,5,2,1,10,5
34,10,5,9,10,0,5,0,2
35,5,10,0,8,7,1,4,8
36,10,4,9,0,0,7,7,9
37,6,4,6,9,8,7,8,0
38,7,1,9,1,2,9,5,8
39,2,8,10,10,2,2,0,10
40,2,10,7,2,7,4,9,0
41,5,9,1,9,3,10,1,5
42,9,0,0,3,3,5,5,9
43,2,7,4,9,2,3,1,5
44,3,1,9,7,0,6,2,7
45,6,10,5,3,4,4,5,1
46,0,8,7,5,6,3,7,7
47,3,4,10,3,7,1,8,10
48,6,5,10,6,4,9,9,3
49,0,3,2,10,9,0,3,7
50,10,10,4,9,4,1,7,9
51,1,1,10,0,5,8,3,8
52,0,2,4,4,5,7,5,3
53,7,1,0,7,8,0,7,10
54,4,1,1,5,2,7,4,10
55,0,4,3,7,9,9,0,7
56,0,6,2,0,10,3,10,0
57,10,3,9,3,9,9,5,7
58,4,2,1,6,6,8,8,8
59,7,2,8,4,8,0,9,8
60,5,3,1,0,7,9,6,2
61,1,7,6,4,2,4,7,3
62,6,7,5,10,10,9,1,6
63,3,7,1,0,2,4,3,1
64,8,2,8,3,2,7,4,1
65,8,4,9,1,5,7,6,4
66,1,8,1,2,0,7,5,4
67,0,10,7,3,10,2,7,2
68,6,6,0,10,1,3,9,8
69,3,7,10,0,0,6,6,10
70,4,8,5,9,7,0,5,10
71,10,1,7,10,7,8,5,5
72,0,6,2,0,4,0,0,3
73,8,8,2,1,3,9,4,8
74,0,0,4,7,4,5,0,5
75,2,10,9,9,3,6,10,9
76,9,0,8,1,8,5,5,10
77,7,1,7,8,5,4,0,3
78,7,2,8,5,4,0,7,3
79,5,3,6,3,2,9,7,0
80,9,2,10,9,0,10,6,5
81,8,5,9,4,0,7,9,1
82,6,9,9,4,2,2,0,10
83,0,7,9,2,2,6,8,6
84,6,6,9,3,5,2,10,3
85,6,0,6,4,2,4,1,3
86,4,6,7,4,4,0,8,9
87,7,7,6,5,3,3,3,0
88,4,6,5,5,8,3,7,0
89,1,5,1,4,1,6,10,2
90,1,0,0,5,9,0,1,3
91,8,8,7,3,0,4,6,8
92,10,2,8,5,1,8,4,5
93,7,3,7,9,3,7,4,9
94,7,6,0,6,10,0,2,5
95,4,1,9,2,5,3,0,4
96,5,8,2,2,1,4,3,10
97,4,10,3,2,2,7,4,4
98,7,9,5,7,1,6,7,4
99,0,10,3,7,3,1,3,1
100,2,5,10,5,7,10,6,9
