Member_ID,Investment_Opportunities,Consulting_Mandates,Capital,Non_Executive_Positions,Executive_Positions
1,8,5,3,1,1
2,1,9,6,7,7
3,2,6,5,7,9
4,9,1,8,0,6
5,10,6,3,2,3
6,1,1,4,9,8
7,6,7,8,7,6
8,3,5,9,5,3
9,7,1,3,9,0
10,8,6,3,9,5
11,6,1,7,4,5
12,0,8,2,3,4
13,2,3,3,4,3
14,2,8,1,8,0
15,2,4,7,9,6
16,7,2,3,3,10
17,10,7,8,0,9
18,6,0,6,7,8
19,2,5,5,5,5
20,6,5,10,4,6
21,10,2,5,0,1
22,7,4,3,7,1
23,5,5,4,4,1
24,0,1,4,6,9
25,0,0,5,7,7
26,0,10,8,10,0
27,6,10,4,7,6
28,7,3,7,1,2
29,10,9,10,0,7
30,7,3,0,9,8
31,1,6,9,9,10
32,10,4,1,0,8
33,4,9,5,3,4
34,0,10,3,1,2
35,8,7,1,4,6
36,10,1,0,9,2
37,10,6,3,10,8
38,6,0,7,0,4
39,10,8,5,2,8
40,2,10,8,5,10
41,7,9,6,8,7
42,7,7,8,1,6
43,6,2,9,1,8
44,5,8,8,0,7
45,4,4,9,0,6
46,7,6,4,1,10
47,6,0,5,2,9
48,0,0,8,0,6
49,10,2,4,0,8
50,1,5,10,4,9
51,6,3,1,4,8
52,0,2,4,4,5
53,5,0,7,8,7
54,6,7,4,7,4
55,8,6,2,5,10
56,10,8,4,10,5
57,0,4,3,1,0
58,5,7,6,6,2
59,9,5,10,9,1
60,6,0,5,8,7
61,3,3,4,7,3
62,5,4,7,10,6
63,7,4,2,10,3
64,4,7,1,6,4
65,5,6,4,1,0
66,1,7,10,6,6
67,9,5,4,4,6
68,5,8,10,7,2
69,8,4,3,1,10
70,9,4,2,6,0
71,2,2,2,9,1
72,10,4,10,5,1
73,1,5,0,2,0
74,8,7,5,0,5
75,10,8,3,9,5
76,8,4,5,1,4
77,4,1,5,4,9
78,9,7,4,7,1
79,0,3,3,9,8
80,9,0,6,0,1
81,10,1,4,7,9
82,1,5,0,10,10
83,2,7,2,9,8
84,9,8,7,5,3
85,8,8,4,6,5
86,8,7,9,10,5
87,0,4,10,8,0
88,0,9,0,9,0
89,8,9,2,4,4
90,3,2,4,3,5
91,3,9,7,4,10
92,1,5,3,0,10
93,1,1,0,0,5
94,5,9,10,6,1
95,0,4,7,1,8
96,3,2,4,10,2
97,6,1,4,2,7
98,3,6,7,6,10
99,3,7,10,7,8
100,10,1,0,1,0
