Member_ID,Arts,Technology,Politics,Science
000001,7,8,3,5
000002,7,5,0,2
000003,6,5,5,0
000004,8,8,4,9
000005,2,8,10,4
000006,2,5,6,2
000007,6,9,10,7
000008,1,7,1,4
000009,1,10,6,1
000010,6,6,8,9
000011,2,10,1,4
000012,3,4,1,10
000013,2,9,8,0
000014,5,9,7,0
000015,4,8,1,10
000016,7,4,0,2
000017,8,4,10,2
000018,9,6,0,7
000019,9,3,2,2
000020,8,10,8,8
000021,0,4,6,4
000022,4,1,10,1
000023,5,8,10,7
000024,7,6,1,1
000025,8,3,10,9
000026,9,10,3,10
000027,9,5,10,9
000028,8,4,4,0
000029,0,0,5,1
000030,6,4,7,5
000031,0,8,9,1
000032,3,10,6,2
000033,8,5,6,10
000034,9,3,7,10
000035,5,6,5,1
000036,6,7,5,8
000037,6,0,8,1
000038,10,0,6,2
000039,9,10,4,3
000040,3,0,9,3
000041,7,0,6,0
000042,0,9,3,1
000043,8,3,0,7
000044,4,0,1,3
000045,4,7,7,3
000046,0,0,5,8
000047,3,1,1,4
000048,3,7,0,10
000049,8,0,4,1
000050,8,7,1,2
000051,1,3,5,10
000052,9,9,2,8
000053,4,8,7,9
000054,9,3,1,3
000055,5,8,4,6
000056,9,4,3,6
000057,7,6,10,8
000058,6,5,8,5
000059,0,8,6,2
000060,8,4,10,5
000061,5,1,4,9
000062,6,2,1,6
000063,2,5,2,7
000064,9,4,7,2
000065,7,5,4,4
000066,6,8,2,6
000067,9,2,4,10
000068,9,2,4,4
000069,2,7,4,2
000070,6,6,3,9
000071,9,1,9,10
000072,0,1,0,5
000073,2,10,9,7
000074,9,3,1,3
000075,0,0,4,5
000076,7,8,1,5
000077,10,9,4,7
000078,9,2,3,0
000079,8,0,10,10
000080,4,5,4,8
000081,5,10,7,3
000082,7,7,0,1
000083,0,10,0,4
000084,5,2,5,10
000085,3,0,0,9
000086,4,8,7,4
000087,8,2,10,9
000088,0,10,2,3
000089,7,5,7,6
000090,6,8,8,2
000091,0,4,4,4
000092,3,7,10,8
000093,7,2,5,5
000094,6,8,1,3
000095,8,8,7,3
000096,3,3,4,5
000097,7,3,5,0
000098,1,10,6,5
000099,1,9,5,2
000100,7,2,0,7
