Member_ID,Matched_Member,Match_Rating
1,70,8
2,46,3
3,13,3
4,53,4
5,31,1
6,2,7
7,49,3
8,63,4
9,86,5
10,4,2
11,30,2
12,56,8
13,100,9
14,85,5
15,85,4
16,78,4
17,3,9
18,70,7
19,61,10
20,89,6
21,42,10
22,61,10
23,24,8
24,96,7
25,15,5
26,34,10
27,88,8
28,71,1
29,59,3
30,10,1
31,87,10
32,13,7
33,30,8
34,32,7
35,13,10
36,46,4
37,13,6
38,13,8
39,14,7
40,55,8
41,82,5
42,65,10
43,14,9
44,48,1
45,7,10
46,51,10
47,30,7
48,78,3
49,78,9
50,81,9
51,20,10
52,45,9
53,90,3
54,66,8
55,69,8
56,44,10
57,55,10
58,43,6
59,95,9
60,81,9
61,44,9
62,92,5
63,96,10
64,95,8
65,34,7
66,52,3
67,14,5
68,15,1
69,55,10
70,32,5
71,59,8
72,55,6
73,56,5
74,80,10
75,89,6
76,35,8
77,85,6
78,5,6
79,18,8
80,71,2
81,7,3
82,63,6
83,34,8
84,74,9
85,81,10
86,31,7
87,65,10
88,29,8
89,37,10
90,60,8
91,29,4
92,26,9
93,27,10
94,59,8
95,44,8
96,40,10
97,50,9
98,57,10
99,25,3
100,94,7
